atk,def,rule,cagr,mdd,cal,sh,sort,sw,boost
A5_3f_rog_G70M25,D4_3f_rog_M60S5,KP_MA150_4d,104.56,33.08,3.16,1.801,2.888,21,57.176105508145845
A7_2f_roc_G55M25,D4_3f_rog_M60S5,KK_MA60_3d,105.73,33.47,3.158,1.822,2.955,39,50.73700543056633
A5_3f_rog_G70M25,D1_3f_rog_M60S7,KP_MA250_5d,107.25,33.97,3.157,1.833,2.874,13,47.478665632273085
A7_2f_roc_G55M25,D4_3f_rog_M60S5,KP_MA200_3d,113.84,36.08,3.155,1.914,3.055,19,54.3832428238945
A2_3f_rog_G65M30,D3_3f_roo_M60S7,KP_MA200_2d,109.76,34.79,3.155,1.88,3.056,21,54.30566330488751
A4_3f_roo_G60M30,D7_3f_rog_E7S7,KK_MA120_5d,107.31,34.03,3.154,1.91,3.026,15,50.116369278510476
A1_3f_rgp_G60M40,D7_3f_rog_E7S7,KP_MA200_2d,112.53,35.69,3.153,1.924,3.079,21,54.30566330488751
A7_2f_roc_G55M25,D3_3f_roo_M60S7,B126_35_5d,104.41,33.15,3.15,1.796,2.777,15,67.88207913110938
A4_3f_roo_G60M30,D4_3f_rog_M60S5,KP_MA150_4d,103.09,32.73,3.15,1.791,2.884,21,57.176105508145845
A2_3f_rog_G65M30,D6_2f_rvo_M60,B126_40_4d,118.75,37.7,3.15,1.94,3.11,17,57.253685027152834
A3_3f_rog_G60M25,D6_2f_rvo_M60,B126_35_2d,107.25,34.07,3.148,1.788,2.787,24,67.10628394103956
A6_2f_oca_G60M25,D6_2f_rvo_M60,KK_MA60_4d,94.9,30.14,3.148,1.724,2.783,23,49.80605120248254
A2_3f_rog_G65M30,D6_2f_rvo_M60,B126_35_4d,102.43,32.56,3.146,1.732,2.723,15,67.95965865011637
A6_2f_oca_G60M25,D1_3f_rog_M60S7,B126_45_5d,108.63,34.53,3.146,1.86,2.944,17,49.72847168347556
A1_3f_rgp_G60M40,D7_3f_rog_E7S7,KP_MA200_4d,121.72,38.71,3.144,2.003,3.188,15,53.68502715283165
A7_2f_roc_G55M25,D1_3f_rog_M60S7,B126_45_5d,112.44,35.77,3.143,1.89,3.064,17,49.72847168347556
A4_3f_roo_G60M30,D5_2f_rao_M55,B126_35_4d,111.41,35.46,3.142,1.857,2.808,15,67.95965865011637
A6_2f_oca_G60M25,D6_2f_rvo_M60,KP_MA150_2d,102.91,32.75,3.142,1.766,2.919,25,56.788207913110945
