v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
0,15,40,45,0.3,12m-1m,1.458,63.87,43.8,1.374,2.132
15,10,35,40,1.0,12m,1.458,61.19,41.97,1.354,1.96
10,15,30,45,0.5,12m,1.457,57.1,39.19,1.308,1.903
15,5,40,40,0.3,6m,1.457,60.12,41.26,1.351,2.053
5,0,40,55,0.8,12m,1.456,57.7,39.64,1.298,1.849
15,30,10,45,0.9,12m,1.456,49.67,34.12,1.231,1.762
5,15,25,55,0.6,6m,1.456,51.85,35.62,1.212,1.747
20,5,35,40,0.8,12m,1.455,58.7,40.34,1.333,1.957
25,0,40,35,0.3,12m-1m,1.455,51.61,35.47,1.243,1.822
15,15,30,40,0.5,6m-1m,1.455,49.06,33.72,1.205,1.773
25,10,15,50,0.3,6m-1m,1.454,45.63,31.38,1.172,1.621
10,20,25,45,0.7,12m,1.453,54.46,37.49,1.254,1.889
15,30,10,45,0.5,12m,1.453,49.41,34.01,1.225,1.749
15,10,25,50,0.4,6m,1.453,47.97,33.01,1.175,1.661
0,10,50,40,0.4,12m,1.452,69.19,47.66,1.446,2.261
20,20,15,45,0.9,6m,1.451,47.56,32.78,1.174,1.626
0,0,65,35,0.8,12m,1.45,67.57,46.59,1.413,2.165
15,10,30,45,0.3,6m,1.45,54.34,37.46,1.278,1.906
0,10,45,45,0.4,12m,1.45,65.1,44.89,1.391,2.142
0,0,45,55,0.4,12m,1.45,70.69,48.77,1.484,2.295
20,15,15,50,0.6,6m-1m,1.449,54.51,37.62,1.309,1.784
5,0,35,60,0.6,12m-1m,1.449,58.85,40.63,1.339,1.93
5,20,30,45,0.4,6m-1m,1.448,57.09,39.43,1.309,2.005
5,20,25,50,0.3,12m-1m,1.448,54.05,37.34,1.279,1.91
0,0,50,50,0.4,12m,1.448,68.7,47.46,1.446,2.262
10,30,15,45,0.7,6m,1.447,46.76,32.3,1.185,1.741
0,10,40,50,0.3,6m,1.447,65.76,45.43,1.426,2.187
15,20,20,45,0.4,6m,1.446,57.78,39.96,1.353,1.989
15,20,25,40,0.3,6m-1m,1.446,52.16,36.06,1.26,1.814
5,15,30,50,0.8,12m,1.445,58.45,40.45,1.337,1.944
15,5,40,40,0.5,12m,1.445,61.95,42.87,1.376,1.948
5,20,20,55,0.5,6m-1m,1.444,48.63,33.68,1.2,1.674
0,15,45,40,0.4,6m-1m,1.443,57.34,39.74,1.29,1.989
20,25,10,45,0.8,6m,1.443,42.41,29.4,1.103,1.551
0,35,10,55,1.0,6m,1.442,48.61,33.71,1.202,1.771
20,15,25,40,0.9,12m-1m,1.441,47.47,32.94,1.193,1.691
10,25,10,55,0.3,12m,1.441,51.56,35.77,1.264,1.756
15,0,50,35,0.4,12m,1.441,62.47,43.34,1.364,2.05
5,0,40,55,0.9,6m,1.441,52.16,36.19,1.227,1.77
10,5,55,30,0.6,6m-1m,1.44,58.0,40.27,1.313,1.997
20,15,15,50,1.0,6m,1.439,50.9,35.38,1.222,1.662
5,10,30,55,0.9,12m-1m,1.439,57.39,39.9,1.324,1.862
20,5,35,40,0.3,6m,1.438,57.7,40.14,1.312,1.919
